id	category	app	one_line	auth	access	surface	mcp	verdict	blocker	evidence
43	Ecommerce	BigCommerce	SaaS ecommerce platform for catalogs, carts, orders, and storefronts.	OAuth2; access tokens	Self-serve sandbox/trial	Broad REST and GraphQL APIs	MCP/community signal, not independently verified	Buildable	App marketplace review for distribution	https://developer.bigcommerce.com/docs/start/authentication
44	Ecommerce	Salesforce Commerce Cloud	Enterprise commerce platform for storefront/order/customer APIs.	OAuth2; SLAS/client credentials	Gated/customer access	Broad Commerce APIs	Public MCP not found	Partially buildable	Enterprise tenant and Salesforce access setup	https://developer.salesforce.com/docs/commerce
45	Ecommerce	Magento (Adobe Commerce)	Adobe ecommerce platform for catalogs, carts, orders, and customers.	OAuth1/integration tokens; bearer tokens	Self-serve open source, Adobe Commerce paid	REST and GraphQL APIs	MCP/community signal, not independently verified	Buildable	Deployment-specific modules and admin setup	https://developer.adobe.com/commerce/webapi/get-started/authentication/
46	Ecommerce	Squarespace	Website/ecommerce platform for orders, products, inventory, and profiles.	OAuth2; API key	Self-serve developer platform, commerce plan needs account	REST APIs	MCP/community signal, not independently verified	Buildable	Endpoint coverage narrower than Shopify	https://developers.squarespace.com/
47	Ecommerce	Ecwid	Lightweight ecommerce store platform.	OAuth2; secret token	Self-serve developer app	Broad REST API	None found	Buildable	Store-specific app install flow	https://docs.ecwid.com/get-started/make-your-first-api-request
48	Ecommerce	Gumroad	Creator commerce platform for products, sales, and subscribers.	OAuth2	Self-serve app registration	REST API moderate	MCP/community signal, not independently verified	Buildable	API surface smaller and product-specific	https://gumroad.com/api
49	Ecommerce	Amazon Selling Partner	Seller/vendor commerce APIs for listings, orders, reports, and fulfillment.	Login with Amazon OAuth; AWS SigV4	Sandbox self-serve; production gated/reviewed	Broad SP-API	MCP/community signal, not independently verified	Partially buildable	Seller/vendor role approval and security review	https://developer-docs.amazon.com/sp-api/docs
50	Ecommerce	fanbasis	Creator monetization/fan engagement platform with payment and AI commerce tooling.	Public auth docs not found	Gated/unknown; docs not public	Marketing page mentions APIs/SDKs and MCP beta; public developer docs not found	Public MCP not found	Not yet	No stable public developer docs or credential path found despite API/MCP marketing signals	https://www.fanbasis.com/
51	Data, SEO and Scraping	DataForSEO	SEO and SERP data APIs for rankings, keywords, backlinks, and ads.	Basic auth	Self-serve paid/trial API account	Broad REST APIs	MCP/community signal, not independently verified	Buildable	Usage is paid and quota-driven	https://docs.dataforseo.com/v3/auth/
52	Data, SEO and Scraping	SE Ranking	SEO platform for rankings, keywords, audits, and backlinks.	API key	Self-serve paid plan/trial	REST API moderate	None found	Buildable	API availability depends on plan	https://seranking.com/api.html
53	Data, SEO and Scraping	Ahrefs	SEO data platform for backlinks, keywords, and site explorer.	API token	Gated/paid enterprise-ish API	REST API broad for SEO data	Public MCP not found	Partially buildable	Paid API subscription and limits	https://ahrefs.com/api
54	Data, SEO and Scraping	MrScraper	Web scraping API/service.	API key	Self-serve account	REST API moderate	None found	Buildable	Anti-abuse and extraction reliability	https://docs.mrscraper.com/
55	Data, SEO and Scraping	Apify	Cloud platform for actors, scraping, and browser automation.	API token	Self-serve free tier	Broad REST API and SDKs	Official or community MCP signal	Buildable	Actor-specific input/output schemas	https://docs.apify.com/api/v2
56	Data, SEO and Scraping	Firecrawl	Web crawling/scraping API for LLM-ready extraction.	API key	Self-serve free/paid API	Broad REST API	Official or community MCP signal	Buildable	Extraction quality varies by site	https://docs.firecrawl.dev/api-reference/introduction
57	Data, SEO and Scraping	Bright Data	Proxy, scraping, and web data platform.	API key; bearer token	Self-serve account, some products compliance reviewed	Broad REST APIs	MCP/community signal, not independently verified	Buildable	KYC/compliance for proxy and scraping use	https://docs.brightdata.com/api-reference/authentication
58	Data, SEO and Scraping	Sherlock	Open-source OSINT tool for checking usernames across sites.	No hosted auth; CLI	GitHub self-serve	CLI/library, not SaaS API	MCP wrapper potential, not independently verified	Buildable	Toolkit wraps CLI rather than remote app API	https://github.com/sherlock-project/sherlock
59	Data, SEO and Scraping	Waterfall.io	Contact/company intelligence and enrichment platform.	API key likely	Gated/contact sales	API docs not broadly public	Public MCP not found	Partially buildable	Access/docs appear sales-gated	https://www.waterfall.io/
60	Data, SEO and Scraping	Clay	Data enrichment and outbound workflow platform.	API key; webhooks	Self-serve product, API details account-gated	HTTP API/webhooks narrower	MCP/community signal, not independently verified	Partially buildable	API docs and keys tied to account/plan	https://docs.clay.com/
61	Developer, Infra and Data platforms	GitHub	Developer platform for repos, issues, pull requests, actions, and users.	OAuth2; GitHub App tokens; PATs	Self-serve developer apps	Broad REST and GraphQL APIs	Official or community MCP signal	Buildable	Installation permissions and org approval	https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api
62	Developer, Infra and Data platforms	Vercel	Frontend cloud platform for deployments, projects, domains, and teams.	OAuth2; bearer tokens	Self-serve account/team	Broad REST API	Official or community MCP signal	Buildable	Team scopes and deployment side effects	https://vercel.com/docs/rest-api
63	Developer, Infra and Data platforms	Netlify	Web hosting platform for sites, deploys, forms, and functions.	OAuth2; personal access token	Self-serve account	Broad REST API	MCP/community signal, not independently verified	Buildable	Site/team permission modeling	https://docs.netlify.com/api/get-started/
64	Developer, Infra and Data platforms	Cloudflare	Internet infrastructure for DNS, CDN, Workers, security, and storage.	API token; API key	Self-serve account	Broad REST APIs	Official or community MCP signal	Buildable	Dangerous write scopes need careful guardrails	https://developers.cloudflare.com/api/
65	Developer, Infra and Data platforms	Supabase	Postgres backend platform with auth, storage, edge functions, and database APIs.	API keys; JWT; Postgres auth	Self-serve free tier	Broad platform APIs and direct Postgres	Official or community MCP signal	Buildable	Project-level secrets and database safety	https://supabase.com/docs/guides/api
66	Developer, Infra and Data platforms	Neo4j	Graph database platform and Aura cloud service.	Basic auth; bearer tokens; API keys for Aura	Self-serve Aura trial and local	REST admin APIs plus Bolt/GraphQL options	MCP/community signal, not independently verified	Buildable	Database query safety and schema discovery	https://neo4j.com/docs/http-api/current/
67	Developer, Infra and Data platforms	Snowflake	Cloud data warehouse and data platform.	Key-pair JWT; OAuth; username/password; PATs	Self-serve trial, enterprise admin for prod	SQL API, REST APIs, drivers	MCP/community signal, not independently verified	Buildable	Account/admin network policies and warehouse cost	https://docs.snowflake.com/en/developer-guide/sql-api/authenticating
68	Developer, Infra and Data platforms	MongoDB Atlas	Managed MongoDB platform for clusters, projects, users, and data APIs.	API keys; OAuth/service accounts	Self-serve free tier	Broad Admin API and Data API	Official or community MCP signal	Buildable	Project-level permissions and data safety	https://www.mongodb.com/docs/api/doc/atlas-admin-api-v2
69	Developer, Infra and Data platforms	Datadog	Observability platform for metrics, logs, traces, monitors, and incidents.	API key plus application key	Self-serve trial/account	Broad REST APIs	Official or community MCP signal	Buildable	Write actions can affect alerts/incidents	https://docs.datadoghq.com/api/latest/authentication/
70	Developer, Infra and Data platforms	Sentry	Error monitoring and performance platform.	Auth token; OAuth2	Self-serve account	Broad REST API	Official or community MCP signal	Buildable	Org/project scopes and issue mutation safety	https://docs.sentry.io/api/auth/
71	Productivity and Project Management	Notion	Workspace docs, databases, pages, users, and comments.	OAuth2; internal integration token	Self-serve integrations	Broad REST API	Official or community MCP signal	Buildable	Per-page sharing required for internal integrations	https://developers.notion.com/docs/authorization
72	Productivity and Project Management	Airtable	Database/spreadsheet collaboration platform.	OAuth2; personal access tokens	Self-serve developer hub	Broad Web API	Official or community MCP signal	Buildable	Base-level permissions and schema variance	https://airtable.com/developers/web/api/authentication
73	Productivity and Project Management	Linear	Issue tracking and product planning tool.	OAuth2; API key	Self-serve developer settings	Broad GraphQL API	Official or community MCP signal	Buildable	GraphQL schema and workspace permissions	https://developers.linear.app/docs/graphql/working-with-the-graphql-api
74	Productivity and Project Management	Jira	Atlassian issue/project management platform.	OAuth2; API token; Forge app auth	Self-serve dev, org/admin approval often needed	Broad REST APIs	Official or community MCP signal	Buildable	Cloud/server differences and admin app approval	https://developer.atlassian.com/cloud/jira/platform/security-for-connect-apps/
75	Productivity and Project Management	Asana	Work management for tasks, projects, teams, goals, and portfolios.	OAuth2; personal access token	Self-serve developer app	Broad REST API	Official or community MCP signal	Buildable	Workspace permissions and app approval	https://developers.asana.com/docs/authentication
76	Productivity and Project Management	Monday.com	Work OS for boards, items, automations, and workflows.	OAuth2; API token	Self-serve developer/apps	Broad GraphQL API	Official or community MCP signal	Buildable	GraphQL complexity/rate budgets	https://developer.monday.com/api-reference/docs/authentication
77	Productivity and Project Management	ClickUp	Project management and docs platform.	OAuth2; personal token	Self-serve developer app	Broad REST API	MCP/community signal, not independently verified	Buildable	Workspace/team hierarchy complexity	https://clickup.com/api
78	Productivity and Project Management	Coda	Docs platform with tables, packs, and automation.	API token; OAuth for Packs	Self-serve account	Broad REST API	MCP/community signal, not independently verified	Buildable	Document/table schema discovery	https://coda.io/developers/apis/v1
79	Productivity and Project Management	Smartsheet	Work management and spreadsheet-like project platform.	OAuth2; access token	Self-serve developer account	Broad REST API	MCP/community signal, not independently verified	Buildable	Enterprise admin controls and rate limits	https://developers.smartsheet.com/api/smartsheet/guides/basics/authentication
80	Productivity and Project Management	Harvest	Time tracking and invoicing platform.	OAuth2; personal access token	Self-serve developer app	Broad REST API	None found	Buildable	Account ID header and workspace permissions	https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/
81	Finance and Fintech	Stripe	Payments and financial infrastructure for charges, customers, invoices, and accounts.	API key; OAuth for Connect	Self-serve test mode, live activation needed	Broad REST API	Official or community MCP signal	Buildable	Payment compliance and live account activation	https://docs.stripe.com/api/authentication
82	Finance and Fintech	Plaid	Financial data connectivity for bank accounts, transactions, identity, and payments.	API keys; link tokens	Self-serve sandbox, production access reviewed	Broad REST API	MCP/community signal, not independently verified	Buildable	Production review and regulated data handling	https://plaid.com/docs/api/
83	Finance and Fintech	Binance	Crypto exchange APIs for market data, trading, wallets, and accounts.	API key/secret; HMAC	Self-serve account/API keys	Broad REST and WebSocket APIs	MCP/community signal, not independently verified	Buildable	Trading safety, regional restrictions, KYC	https://developers.binance.com/en/docs/products/spot/rest-api
84	Finance and Fintech	Paygent Connect	NMI-powered merchant payment gateway/connectivity path for payment processing.	API key/token likely via merchant gateway credentials	Gated/merchant-provider access	NMI payment APIs/SDKs public docs; Paygent-specific docs unclear	Public MCP not found	Partially buildable	Paygent-specific public docs timed out; NMI merchant/API access is provider-gated	https://www.nmi.com/developers/sdks-apis/
85	Finance and Fintech	iPayX	AI/payments product with developer docs.	API key likely	Gated/unclear	Docs site exists, surface unclear	Public MCP not found	Partially buildable	Need account/docs validation	https://ipayx.ai/docs
86	Finance and Fintech	QuickBooks	Intuit accounting platform for companies, invoices, customers, and reports.	OAuth2	Self-serve sandbox/dev app, production review possible	Broad REST API	MCP/community signal, not independently verified	Buildable	Accounting data permissions and app review	https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization
87	Finance and Fintech	Xero	Accounting platform for invoices, contacts, bank transactions, and reports.	OAuth2	Self-serve developer app	Broad REST API	MCP/community signal, not independently verified	Buildable	Tenant connections and accounting permissions	https://developer.xero.com/documentation/guides/oauth2/overview/
88	Finance and Fintech	Brex	Corporate card, spend management, and banking platform.	OAuth2; API token	Gated/customer/admin access	REST APIs	Public MCP not found	Partially buildable	Customer/admin access and finance controls	https://developer.brex.com/guides/authentication
89	Finance and Fintech	Ramp	Corporate card and spend management platform.	OAuth2	Gated/customer/admin access	Broad REST API	Public MCP not found	Partially buildable	Partner/customer access and spend controls	https://docs.ramp.com/developer-api/v1/authorization/scopes
90	Finance and Fintech	PitchBook	Private markets data and research platform.	API token/license	Gated/contract only	Data/API products	Public MCP not found	Partially buildable	Commercial data license and sales access	https://pitchbook.com/data
91	AI, Research and Media-native	NotebookLM	Google AI note/research product; enterprise capability points to Gemini/Workspace APIs.	Google OAuth/service account for related APIs	Gated/no standalone public NotebookLM API	No standalone public NotebookLM developer API found	Public MCP not found	Not yet	No direct public API; use Gemini/Drive alternatives	https://cloud.google.com/gemini
92	AI, Research and Media-native	Otter AI	Meeting transcription and notes product.	MCP/OAuth depending connector	Gated for API; MCP docs available	API not broadly public; MCP server noted	Existing MCP noted	Partially buildable	Public API surface limited; MCP may be connector path	https://help.otter.ai/
93	AI, Research and Media-native	Fathom	AI meeting recorder and summary tool.	OAuth/API access unclear	Gated/unclear	Public API and MCP are mentioned; detailed API docs/access unclear	Public MCP not found	Partially buildable	Public API/MCP signal exists, but developer access and auth details are unclear	https://fathom.video/
94	AI, Research and Media-native	Consensus	AI academic search/research product.	OAuth requested per assignment; public API unclear	Gated/unclear	Public API not clearly documented	Public MCP not found	Not yet	OAuth/API access requested but not public	https://consensus.app/
95	AI, Research and Media-native	Reducto	Document parsing API for complex PDFs and unstructured files.	API key	Self-serve/contact depending tier	REST API	MCP/community signal, not independently verified	Buildable	Paid usage and document privacy	https://docs.reducto.ai/agent-guide
96	AI, Research and Media-native	Devin	AI software engineer product with API/MCP integrations.	API key/token; MCP	Self-serve/customer account likely	API and MCP docs	Official MCP	Buildable	Account availability and action safety	https://docs.devin.ai/
97	AI, Research and Media-native	higgsfield	AI video/content suite with CLI hint.	CLI auth unclear	Gated/unclear	CLI/product surface, API docs unclear	Public MCP not found	Partially buildable	No broad public API verified	https://higgsfield.ai/cli
98	AI, Research and Media-native	Mermaid CLI	Command-line renderer for Mermaid diagrams.	No remote auth; local CLI	Open source self-serve	CLI, npm package	MCP wrapper potential, not independently verified	Buildable	Wrap CLI, not app API	https://github.com/mermaid-js/mermaid-cli
99	AI, Research and Media-native	YouTube Transcript	Transcript extraction API/service.	API key	Self-serve paid/free API	REST API narrow	MCP wrapper potential, not independently verified	Buildable	Narrow surface and YouTube policy dependence	https://www.transcriptapi.com/docs
100	AI, Research and Media-native	Grain	Meeting recording, notes, clips, and conversation intelligence.	OAuth/API token unclear	Gated/customer access	API docs not broadly obvious	Public MCP not found	Partially buildable	Public developer access unclear	https://grain.com/
